Racquet Name,Racquet Type,URL,Head Size:,Length:,Strung Weight:,Balance:,Swingweight:,Stiffness:,Beam Width:,Composition:,Power Level:,Stroke Style:,Swing Speed:,Racquet Colors:,Grip Type:,String Pattern:,String Tension:,Price,Rating
Prince O3 Legacy 105,All Around Racquets,https://www.tennis-warehouse.com/Prince_O3_Legacy_105/descpageRCLEADER-P3LY05.html,105 in² / 677.42 cm²,27.25in / 69.22cm,10.4oz / 295g,13.57in / 34.47cm / 0 pts EB,321.0,67,23.5mm / 25mm / 23mm,Twaron/Textreme/Graphite,Medium-High,Compact-Medium,Slow-Moderate,Red,Prince ResiTex Soft,"16 Mains / 19 CrossesMains skip: 7T,9T,7H,9HTwo PiecesNo Shared Holes",53-63 pounds,189.0,5.0
Prince Phantom 100X 290,All Around Racquets,https://www.tennis-warehouse.com/Prince_Phantom_100X_290/descpageRCTWABG-PPX290.html,100 in² / 645.16 cm²,27in / 68.58cm,10.8oz / 306g,13in / 33.02cm / 4 pts HL,319.0,58,22mm / 20.5mm / 18mm,Textreme/Twaron/Graphite,Low-Medium,Medium-Full,Medium-Fast,Grey-Blue,Prince ResiTex Tour,"16 Mains / 18 CrossesMains skip: 8T,8HOne PieceNo Shared Holes",45-55 pounds,149.0,5.0
Prince Textreme Warrior 100,All Around Racquets,https://www.tennis-warehouse.com/Prince_Textreme_Warrior_100/descpageRCTWABG-W100.html,100 sq. in. / 645.16 sq. cm.,27in / 68.58cm,11.14oz / 315.81g,12.7in / 32.26cm / 6 pts HL,320.0,66,24mm / 25.5mm / 22.5mm /,Graphite/Textreme,Low-Medium,Medium-Full,Medium-Fast,Black w/Silver & White,Prince ResiPro,"16 Mains / 18 CrossesMains skip: 7T,9T,8HTwo PieceNo Shared Holes",50-60 pounds,99.0,4.4
Prince Ripcord 100 265g,All Around Racquets,https://www.tennis-warehouse.com/Prince_Ripcord_100_265g/descpageRCTWABG-PRIPCL.html,100 in / 645.16 cm,27in / 68.58cm,9.9oz / 281g,13.66in / 34.7cm / 1 pts HH,311.0,62,27mm / 25mm / 22mm,Graphite,Low-Medium,Medium-Full,Medium-Fast,Grey,Prince ResiTex Pro,"16 Mains / 19 CrossesMains skip: 7T,9T,8HTwo PiecesNo Shared Holes",47-58 pounds,179.0,5.0
Prince Ripcord 100 280g,All Around Racquets,https://www.tennis-warehouse.com/Prince_Ripcord_100_280g/descpageRCTWABG-PRIPCH.html,100 in / 645.16 cm,27in / 68.58cm,10.4oz / 295g,13in / 33.02cm / 4 pts HL,307.0,61,27mm / 25mm / 22mm,Graphite,Low-Medium,Medium-Full,Medium-Fast,Black,Prince ResiTex Pro,"16 Mains / 19 CrossesMains skip: 7T,9T,8HTwo PiecesNo Shared Holes",47-58 pounds,179.0,5.0
Yonex VCORE 100L 2023,All Around Racquets,https://www.tennis-warehouse.com/Yonex_VCORE_100L_2023/descpageRCYONEX-YVC280.html,100 in / 645.16 cm,27in / 68.58cm,10.5oz / 298g,13.38in / 33.99cm / 1 pts HL,312.0,66,25.3mm / 25.3mm / 22mm,2G-Namd FlexForce/H.M. Graphite,Low-Medium,Medium-Full,Medium-Fast,Red,Yonex Synthetic,"16 Mains / 19 CrossesMains skip: 7T,9T,8HTwo PiecesNo Shared Holes",45-60 pounds,259.0,5.0
Yonex ASTREL 100,All Around Racquets,https://www.tennis-warehouse.com/Yonex_ASTREL_100/descpageRCYONEX-AST100.html,100 in� / 645.16 cm�,27in / 68.58cm,10.4oz / 295g,12.99in / 32.99cm / 4 pts HL,297.0,68,25.5mm / 27.5mm / 24mm,Graphite,Low-Medium,Medium-Full,Medium-Fast,Grey/White,Yonex Synthetic,"16 Mains / 18 CrossesMains skip: 8T,8HTwo PiecesNo Shared Holes",40-55 pounds,295.0,5.0
Yonex ASTREL 105,All Around Racquets,https://www.tennis-warehouse.com/Yonex_ASTREL_105/descpageRCYONEX-AST105.html,105 in� / 677.42 cm�,27in / 68.58cm,9.8oz / 278g,13.38in / 33.99cm / 1 pts HL,298.0,68,27mm / 28.5mm / 25mm,HM Graphite/ Vibeslayer Carbon,Medium-High,Medium-Full,Slow-Moderate,"White, Blue",Yonex Synthetic,"16 Mains / 18 CrossesMains skip: 8T,8HTwo PiecesNo Shared Holes",40-55 pounds,295.0,5.0
Tecnifibre TFight ISO 295,All Around Racquets,https://www.tennis-warehouse.com/Tecnifibre_TFight_ISO_295/descpageRCTFUSA-ISO295.html,100 in / 645.16 cm,27in / 68.58cm,11oz / 312g,13.18in / 33.48cm / 3 pts HL,324.0,70,23mm / 23mm / 23mm,Dynacore HD/Graphite,Low-Medium,Medium-Full,Medium-Fast,White,Tecnifibre Xtra Feel,"16 Mains / 19 CrossesMains skip: 7T,9T,7H,9HTwo PiecesNo Shared Holes",49-55 pounds,249.0,4.4
Tecnifibre TF-X1 275,All Around Racquets,https://www.tennis-warehouse.com/Tecnifibre_TF-X1_275/descpageRCTFUSA-TFX175.html,105 in / 677.42 cm,27in / 68.58cm,10.2oz / 289g,13.38in / 33.99cm / 1 pts HL,310.0,69,25mm / 25.5mm / 24.5mm,Graphite,Low-Medium,Medium-Full,Medium-Fast,White,Tecnifibre WaxGripFeel,"16 Mains / 19 CrossesMains skip: 7T,9T,7H,9HTwo PiecesNo Shared Holes",49-55 pounds,229.0,5.0
Tecnifibre TF-X1 285,All Around Racquets,https://www.tennis-warehouse.com/Tecnifibre_TF-X1_285/descpageRCTFUSA-TFX185.html,100 in / 645.16 cm,27in / 68.58cm,10.5oz / 298g,13.25in / 33.66cm / 2 pts HL,316.0,71,24mm / 24mm / 24mm,Graphite,Low-Medium,Medium-Full,Medium-Fast,White,Tecnifibre WaxGripFeel,"16 Mains / 19 CrossesMains skip: 7T,9T,7H,9HTwo PiecesNo Shared Holes",49-55 pounds,229.0,5.0
Tecnifibre Tempo 298 Iga,All Around Racquets,https://www.tennis-warehouse.com/Tecnifibre_Tempo_298_Iga/descpageRCTFUSA-TTIG22.html,98 in / 632.26 cm,27in / 68.58cm,11oz / 312g,12.99in / 32.99cm / 4 pts HL,319.0,71,23mm / 23mm / 23mm,Dynacore/Graphite,Low-Medium,Medium-Full,Medium-Fast,White/Teal,Tecnifibre Synthetic,"16 Mains / 19 CrossesMains skip: 7T,9T,7H,9HTwo PiecesNo Shared Holes",50-55 pounds,229.0,5.0
Dunlop SX 300 LS,All Around Racquets,https://www.tennis-warehouse.com/Dunlop_SX_300_LS/descpageRCDUNLOP-S285DU.html,100 in / 645.16 cm,27in / 68.58cm,10.6oz / 301g,13.12in / 33.32cm / 3 pts HL,314.0,67,23mm / 26mm / 23mm,Sonic Core Infinergy/Graphite,Low-Medium,Compact-Medium,Medium-Fast,Black/Yellow,Dunlop Synthetic,"16 Mains / 19 CrossesMains skip: 7T,9T,7H,9HTwo PiecesNo Shared Holes",45-65 pounds,179.0,4.0
Dunlop SX 300 Lite,All Around Racquets,https://www.tennis-warehouse.com/Dunlop_SX_300_Lite/descpageRCDUNLOP-L270DU.html,100 in / 645.16 cm,27in / 68.58cm,10oz / 283g,13.28in / 33.73cm / 2 pts HL,299.0,63,23mm / 26mm / 23mm,Sonic Core Infinergy/Graphite,Low-Medium,Compact-Medium,Medium-Fast,Black/Yellow,Dunlop Synthetic,"16 Mains / 18 CrossesMains skip: 7T,9T,7H,9HTwo PiecesNo Shared Holes",45-65 pounds,179.0,5.0
Dunlop SX 600,All Around Racquets,https://www.tennis-warehouse.com/Dunlop_SX_600/descpageRCDUNLOP-6270DU.html,105 in / 677.42 cm,27.25in / 69.22cm,10.1oz / 286g,13.5in / 34.29cm / 1 pts HL,309.0,60,23mm / 26.5mm / 23mm,Sonic Core Infinergy/Graphite,Medium,Medium,Medium,Black/Yellow,Dunlop Synthetic,"16 Mains / 18 CrossesMains skip: 7T,9T,7H,9HOne PieceNo Shared Holes",40-60 pounds,179.0,5.0
Dunlop CX 400,All Around Racquets,https://www.tennis-warehouse.com/Dunlop_CX_400/descpageRCDUNLOP-DS400R.html,100 in / 645.16 cm,27in / 68.58cm,10.7oz / 303g,13.38in / 33.99cm / 1 pts HL,319.0,71,24.5mm / 24.5mm / 24.5mm,Sonic Core Infinergy/Graphite,Low-Medium,Medium-Full,Medium-Fast,Red,Dunlop Viper Dry,"16 Mains / 19 CrossesMains skip: 8T,8HTwo PiecesNo Shared Holes",40-60 pounds,199.0,4.6
Dunlop CX 200 OS,All Around Racquets,https://www.tennis-warehouse.com/Dunlop_CX_200_OS/descpageRCDUNLOP-D200OS.html,105 in / 677.42 cm,27in / 68.58cm,11oz / 312g,13.18in / 33.48cm / 3 pts HL,313.0,61,21.5mm / 21.5mm / 21.5mm,Sonic Core Infinergy/Graphite,Low-Medium,Medium-Full,Medium-Fast,Red/Black,Dunlop Viper Dry,"16 Mains / 19 CrossesMains skip: 8T,8HTwo PiecesNo Shared Holes",40-60 pounds,199.0,4.5
Solinco Blackout 285,All Around Racquets,https://www.tennis-warehouse.com/Solinco_Blackout_285/descpageRCSOLINCO-BLKO28.html,100 in / 645.16 cm,27in / 68.58cm,10.6oz / 301g,13.38in / 33.99cm / 1 pts HL,315.0,70,23.5mm / 26mm / 23mm,40T Carbon/Graphite,Low-Medium,Medium-Full,Medium-Fast,Black,Solinco Synthetic,"16 Mains / 19 CrossesMains skip: 7T,9T,7H,9HTwo PiecesNo Shared Holes",50-60 pounds,219.99,4.3
Solinco Whiteout 290,All Around Racquets,https://www.tennis-warehouse.com/Solinco_Whiteout_290/descpageRCSOLINCO-WHTO29.html,98 in / 632.26 cm,27in / 68.58cm,10.7oz / 303g,13.18in / 33.48cm / 3 pts HL,314.0,67,21.7mm / 21.7mm / 21.7mm,40T Carbon/Graphite,Low-Medium,Medium-Full,Medium-Fast,White,Solinco Synthetic,"16 Mains / 19 CrossesMains skip: 7T,9T,7H,9HTwo PiecesNo Shared Holes",50-60 pounds,219.99,4.7
Babolat Pure Aero VS,Traditional Player's Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Aero_VS/descpageRCBAB-BPAVSR.html,98 in / 632.26 cm,27in / 68.58cm,11.3oz / 320g,12.75in / 32.39cm / 6 pts HL,321.0,67,21mm / 23mm / 22mm,Graphite,Low-Medium,Medium-Full,Medium-Fast,Yellow/Metallic Silver,Syntec Pro,"16 Mains / 20 CrossesMains skip: 7T,9T,7H,9HTwo PiecesNo Shared Holes",50-59 pounds,209.0,3.8
Babolat Pure Strike VS,Traditional Player's Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Strike_VS/descpageRCBAB-PSVSIN.html,97 in / 625.81 cm,27in / 68.58cm,11.7oz / 332g,12.59in / 31.98cm / 7 pts HL,322.0,63,21mm / 22mm / 21mm,Graphite,Low-Medium,Medium-Full,Medium-Fast,Black/Orange,LEATHER!,"16 Mains / 20 CrossesMains skip: 7T,9T,7H,9HOne PieceNo Shared Holes",50-59 pounds,259.0,4.7
Babolat Pure Strike 18x20 3rd Gen,Traditional Player's Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Strike_18x20_3rd_Gen/descpageRCBAB-PS182.html,98 in2/ 632.26 cm2,27in / 68.58cm,11.4oz / 323g,13in / 33.02cm / 4 pts HL,334.0,66,21mm / 23mm / 21mm,Graphite,Low,Full,Fast,White/Coral,Babolat Syntec Team,"18 Mains / 20 CrossesMains skip: 8T,10T,8H,10HOne PieceNo Shared Holes",50-59 pounds,179.0,4.3
Babolat Pure Strike VS 2-Pack,Traditional Player's Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Strike_VS_2-Pack/descpageRCBAB-PSVDOU.html,97 in² / 625.81 cm²,27in / 68.58cm,11.7oz / 332g,12.59in / 31.98cm / 7 pts HL,322.0,63,21mm / 22mm / 21mm,Graphite,Low-Medium,Medium-Full,Medium-Fast,Black/Orange,LEATHER!,"16 Mains / 20 CrossesMains skip: 7T,9T,7H,9HOne PieceNo Shared Holes",50-59 pounds,509.0,4.7
Head Gravity Pro 2023,Traditional Player's Racquets,https://www.tennis-warehouse.com/Head_Gravity_Pro_2023/descpageRCHEAD-HGPR.html,100 in / 645.16 cm,27in / 68.58cm,11.7oz / 332g,12.75in / 32.39cm / 6 pts HL,334.0,63,20mm / 20mm / 20mm,Graphene 360+/Graphite,Low,Full,Fast,Black,Head Hydrosorb Pro,"18 Mains / 20 CrossesMains skip: 8T,10T,8H,10HTwo PiecesNo Shared Holes",48-57 pounds,269.0,4.9
Head Prestige MP,Traditional Player's Racquets,https://www.tennis-warehouse.com/Head_Prestige_MP/descpageRCHEAD-MIPPRE.html,99 in / 638.71 cm,27in / 68.58cm,11.5oz / 326g,13.07in / 33.2cm / 3 pts HL,334.0,66,21.5mm / 21.5mm / 21.5mm,Graphene Inside/Graphite,Low,Full,Fast,Maroon,Head Hydrosorb Pro,"18 Mains / 19 CrossesMains skip: 8T,10T,8H,10HTwo PiecesNo Shared Holes",48-57 pounds,259.0,4.0
Head Prestige Tour,Traditional Player's Racquets,https://www.tennis-warehouse.com/Head_Prestige_Tour/descpageRCHEAD-TOUPRE.html,95 in / 612.9 cm,27in / 68.58cm,11.8oz / 335g,12.85in / 32.64cm / 5 pts HL,338.0,65,22mm / 22mm / 22mm,Graphene Inside/Graphite,Low-Medium,Medium-Full,Medium-Fast,Maroon,Head Hydrosorb Pro,"16 Mains / 19 CrossesMains skip: 8T,8HTwo PiecesNo Shared Holes",48-57 pounds,269.0,4.7
Head Speed Pro,Traditional Player's Racquets,https://www.tennis-warehouse.com/Head_Speed_Pro/descpageRCHEAD-SPDP.html,100 in / 645.16 cm,27in / 68.58cm,11.5oz / 326g,12.79in / 32.49cm / 6 pts HL,326.0,62,23mm / 23mm / 23mm,Graphene 360+/Graphite,Low,Full,Fast,White/Black,Head Hydrosorb Pro,"18 Mains / 20 CrossesMains skip: 8T,10T,8H,10HTwo PiecesNo Shared Holes",48-57 pounds,269.0,4.9
Head Prestige Pro,Traditional Player's Racquets,https://www.tennis-warehouse.com/Head_Prestige_Pro/descpageRCHEAD-PROPRE.html,98 in / 632.26 cm,27in / 68.58cm,11.9oz / 337g,12.79in / 32.49cm / 6 pts HL,325.0,60,20mm / 20mm / 20mm,Graphene Inside/Graphite,Low,Full,Fast,Maroon,Head Hydrosorb Pro,"18 Mains / 20 CrossesMains skip: 8T,10T,8H,10HTwo PiecesNo Shared Holes",48-57 pounds,269.0,4.7
Wilson Shift 99 Pro,Traditional Player's Racquets,https://www.tennis-warehouse.com/Wilson_Shift_99_Pro/descpageRCWILSON-WSP315.html,99 in / 638.71 cm,27in / 68.58cm,11.7oz / 332g,12.75in / 32.39cm / 6 pts HL,332.0,68,23.5mm / 23.5mm / 23.5mm,Graphite,Low-Medium,Medium-Full,Medium-Fast,White,Wilson Pro Performance,"18 Mains / 20 CrossesMains skip: 8T,10T,8H,10HOne PieceNo Shared Holes",48-58 pounds,269.0,4.3
Wilson Pro Staff Six.One 95 18x20 v13,Traditional Player's Racquets,https://www.tennis-warehouse.com/Wilson_Pro_Staff_SixOne_95_18x20_v13/descpageRCWILSON-WPS95V.html,95 in / 612.9 cm,27in / 68.58cm,12.3oz / 349g,12.4in / 31.5cm / 9 pts HL,330.0,67,21mm / 21mm / 21mm,Graphite,Low,Full,Fast,Black,Wilson Pro Performance,18 Mains / 20 CrossesMains skip: 8T 10T 8H 10HTwo PiecesNo Shared Holes,50-60 pounds,129.0,3.2
Wilson Pro Staff 97 v14,Traditional Player's Racquets,https://www.tennis-warehouse.com/Wilson_Pro_Staff_97_v14/descpageRCWILSON-W97V14.html,97 in / 625.81 cm,27in / 68.58cm,11.7oz / 332g,12.6in / 32cm / 7 pts HL,332.0,66,21.5mm / 21.5mm / 21.5mm,Graphite braided with aramid,Low,Full,Fast,Rust,Wilson Pro Performance,"16 Mains / 19 CrossesMains skip: 7T,9T,7H,9HTwo PiecesNo Shared Holes",50-60 pounds,279.0,4.6
Wilson Pro Staff 6.0 85,Traditional Player's Racquets,https://www.tennis-warehouse.com/Wilson_Pro_Staff_60_85/descpageRCWILSON-W26085.html,85 in / 548.39 cm,27in / 68.58cm,12.5oz / 354g,12.3in / 31.24cm / 10 pts HL,323.0,66,17mm / 17mm / 17mm,80% Graphite 20% Kevlar,Low,Full,Fast,Black / Red / Yellow,Wilson Leather,"16 Mains / 18 CrossesMains skip: 7T,9T,7H,9HTwo PiecesNo Shared Holes",50-60 pounds,169.0,5.0
Wilson Pro Staff RF97 v13,Traditional Player's Racquets,https://www.tennis-warehouse.com/Wilson_Pro_Staff_RF97_v13/descpageRCWILSON-97V13R.html,97 in² / 625.81 cm²,27in / 68.58cm,12.6oz / 357g,12.38in / 31.45cm / 9 pts HL,333.0,68,21.5mm / 21.5mm / 21.5mm,Graphite braided with aramid,Low,Full,Fast,Black,Wilson Leather,"16 Mains / 19 CrossesMains skip: 7T,9T,7H,9HTwo PiecesNo Shared Holes",50-60 pounds,219.0,5.0
Wilson Blade 98 18x20 v8,Traditional Player's Racquets,https://www.tennis-warehouse.com/Wilson_Blade_98_18x20_v8/descpageRCWILSON-20BV8S.html,98 in / 632.26 cm,27in / 68.58cm,11.4oz / 323g,13in / 33.02cm / 4 pts HL,327.0,60,21mm / 21mm / 21mm,Braided Graphite,Low,Full,Fast,Green,Wilson Pro Performance,"18 Mains / 20 CrossesMains skip: 8T,10T,8H,10HTwo PiecesNo Shared Holes",50-60 pounds,249.0,4.5
Wilson Pro Staff 97 v13,Traditional Player's Racquets,https://www.tennis-warehouse.com/Wilson_Pro_Staff_97_v13/descpageRCWILSON-W97V13.html,97 in² / 625.81 cm²,27in / 68.58cm,11.7oz / 332g,12.6in / 32cm / 7 pts HL,321.0,66,21.5mm / 21.5mm / 21.5mm,Graphite braided with aramid,Low,Full,Fast,Black,Wilson Pro Performance,"16 Mains / 19 CrossesMains skip: 7T,9T,7H,9HTwo PiecesNo Shared Holes",50-60 pounds,199.0,4.7
Yonex VCORE PRO 97 310,Traditional Player's Racquets,https://www.tennis-warehouse.com/Yonex_VCORE_PRO_97_310/descpageRCYONEX-310VD7.html,97 in / 625.81 cm,27in / 68.58cm,11.5oz / 326g,12.59in / 31.98cm / 7 pts HL,316.0,60,21mm / 21mm / 21mm,NAMD-2G/H.M.Graphite,Low,Full,Fast,Green/Black/Purple,Yonex Synthetic,"16 Mains / 19 CrossesMains skip: 8T,8HTwo PiecesNo Shared Holes",45-60 pounds,259.0,4.0
Yonex VCORE PRO 97H 330 ,Traditional Player's Racquets,https://www.tennis-warehouse.com/Yonex_VCORE_PRO_97H_330_/descpageRCYONEX-330VD7.html,97 in / 625.81 cm,27in / 68.58cm,12.3oz / 349g,12.59in / 31.98cm / 7 pts HL,337.0,61,21mm / 21mm / 21mm,NAMD-2G/H.M.Graphite,Low,Full,Fast,Green/Black/Purple,Yonex Synthetic,"16 Mains / 19 CrossesMains skip: 8T,8HTwo PiecesNo Shared Holes",45-60 pounds,259.0,4.7
Yonex VCORE PRO 97D 320 ,Traditional Player's Racquets,https://www.tennis-warehouse.com/Yonex_VCORE_PRO_97D_320_/descpageRCYONEX-320HD7.html,97 in / 625.81 cm,27in / 68.58cm,12oz / 340g,12.59in / 31.98cm / 7 pts HL,330.0,61,21mm / 21mm / 21mm,NAMD-2G/H.M.Graphite,Low,Full,Fast,Green/Black/Purple,Yonex Synthetic,"18 Mains / 20 CrossesMains skip: 8T,10T,8H,10HTwo PiecesNo Shared Holes",45-60 pounds,259.0,4.1
Prince Tour Diablo MP,Traditional Player's Racquets,https://www.tennis-warehouse.com/Prince_Tour_Diablo_MP/descpageRCTWABG-DIABMP.html,100 in / 645.16 cm,27.25in / 69.22cm,11.5oz / 326g,12.59in / 31.98cm / 8 pts HL,317.0,60,19.5mm / 19.5mm / 19mm,Titanium/Tungsten/Graphite,Low,Full,Fast,Red/Black,ResiTex Pro,"16 Mains / 18 CrossesMains skip: 8T,8HTwo PiecesNo Shared Holes",53-63 pounds,179.0,4.8
Prince ATS Textreme Tour 100P,Traditional Player's Racquets,https://www.tennis-warehouse.com/Prince_ATS_Textreme_Tour_100P/descpageRCTWABG-ATR10P.html,100 in / 645.16 cm,27in / 68.58cm,11.4oz / 323g,12.59in / 31.98cm / 7 pts HL,322.0,61,22mm / 23mm / 20mm,Textreme/Twaron/Graphite,Low,Full,Fast,White,Prince Resi Pro,"18 Mains / 20 CrossesMains skip: 8T,10T,8H,10HOne PieceNo Shared Holes",45-55 pounds,199.0,4.7
Prince ATS Textreme Tour 95,Traditional Player's Racquets,https://www.tennis-warehouse.com/Prince_ATS_Textreme_Tour_95/descpageRCTWABG-ATR95.html,95 in / 612.9 cm,27in / 68.58cm,11.9oz / 337g,12.5in / 31.75cm / 8 pts HL,324.0,61,22mm / 22mm / 19mm,Textreme/Twaron/Graphite,Low,Full,Fast,White,Prince Resi Pro,"16 Mains / 19 CrossesMains skip: 7T,9T,7H,9HTwo PiecesNo Shared Holes",45-55 pounds,199.0,5.0
Prince Phantom 93P (18x20),Traditional Player's Racquets,https://www.tennis-warehouse.com/Prince_Phantom_93P_18x20/descpageRCTWABG-PP93P.html,93 in² / 600 cm²,27in / 68.58cm,12.2oz / 346g,12.4in / 31.5cm / 9 pts HL,329.0,60,20.5mm / 19.5mm / 16.5mm,Textreme/Twaron/Graphite,Low,Full,Fast,Grey-Purple,Prince Leather!,"18 Mains / 20 CrossesMains skip: 8T,10T,8H,10HTwo PiecesNo Shared Holes",45-55 pounds,199.0,4.0
Prince Phantom 93P (14x18),Traditional Player's Racquets,https://www.tennis-warehouse.com/Prince_Phantom_93P_14x18/descpageRCTWABG-P1493P.html,93 in² / 600 cm²,27in / 68.58cm,12.1oz / 343g,12.59in / 31.98cm / 7 pts HL,329.0,62,20.5mm / 19.5mm / 16.5mm,Textreme/Twaron/Graphite,Low,Full,Fast,Grey-Purple,Prince Leather!,"14 Mains / 18 CrossesMains skip: 7T,7HOne PieceNo Shared Holes",45-55 pounds,199.0,5.0
Prince Phantom 100X 18x20,Traditional Player's Racquets,https://www.tennis-warehouse.com/Prince_Phantom_100X_18x20/descpageRCTWABG-PPX182.html,100 in² / 645.16 cm²,27in / 68.58cm,11.8oz / 335g,12.4in / 31.5cm / 9 pts HL,324.0,59,22mm / 20.5mm / 18mm,Textreme/Twaron/Graphite,Low,Full,Fast,Grey-Blue,Prince ResiTex Tour,"18 Mains / 20 CrossesMains skip: 8T,10T,8H,10HTwo PiecesNo Shared Holes",45-55 pounds,149.0,5.0
Prince Textreme Tour 95,Traditional Player's Racquets,https://www.tennis-warehouse.com/Prince_Textreme_Tour_95/descpageRCTWABG-PT2T95.html,95 in² / 612.9 cm²,27in / 68.58cm,11.9oz / 337g,12.5in / 31.75cm / 8 pts HL,325.0,64,22mm / 22mm / 19mm,Textreme/Twaron/Graphite,Low,Full,Fast,Black/Green,Prince Resi Pro,"16 Mains / 19 CrossesMains skip: 7T,9T,7H,9HTwo PiecesNo Shared Holes",45-55 pounds,79.0,5.0
Prince Classic Graphite 107,Traditional Player's Racquets,https://www.tennis-warehouse.com/Prince_Classic_Graphite_107/descpageRCTWABG-CG107.html,107 sq. in. / 690.32 sq. cm.,27in / 68.58cm,12.2oz / 345.86g,12.7in / 32.26cm / 6 pts HL,336.0,65,19mm / 19mm / 19mm /,100% Graphite!,Low-Medium,Medium-Full,Medium-Fast,Black w/Green Stripe,Prince Leather,16 Mains / 19 CrossesMains skip: 8T 8HTwo PiecesNo Shared Holes,57-67 pounds,139.0,5.0
Tecnifibre TF40 315 (16x19),Traditional Player's Racquets,https://www.tennis-warehouse.com/Tecnifibre_TF40_315_16x19/descpageRCTFUSA-TF4TH.html,98 in / 632.26 cm,27in / 68.58cm,11.7oz / 332g,12.51in / 31.78cm / 8 pts HL,313.0,64,22mm / 22mm / 22mm,Dynacore XTC/Graphite,Low,Full,Fast,White,Tecnifibre Xtra Feel,"16 Mains / 19 CrossesMains skip: 8T,8HOne PieceNo Shared Holes",49-55 pounds,259.0,4.8
Tecnifibre TF40 305 (18x20),Traditional Player's Racquets,https://www.tennis-warehouse.com/Tecnifibre_TF40_305_18x20/descpageRCTFUSA-TF4TW.html,98 in / 632.26 cm,27in / 68.58cm,11.4oz / 323g,13.12in / 33.32cm / 3 pts HL,328.0,64,22mm / 22mm / 22mm,Dynacore XTC/Graphite,Low,Full,Fast,White,Tecnifibre Xtra Feel,"18 Mains / 20 CrossesMains skip: 8T,10T,8H,10HTwo PiecesNo Shared Holes",49-55 pounds,259.0,5.0
Tecnifibre TF40 305 (16x19),Traditional Player's Racquets,https://www.tennis-warehouse.com/Tecnifibre_TF40_305_16x19/descpageRCTFUSA-TF4ON.html,98 in / 632.26 cm,27in / 68.58cm,11.3oz / 320g,13.07in / 33.2cm / 3 pts HL,321.0,64,22mm / 22mm / 22mm,Dynacore XTC/Graphite,Low,Full,Fast,White,Tecnifibre Xtra Feel,"16 Mains / 19 CrossesMains skip: 8T,8HOne PieceNo Shared Holes",49-55 pounds,259.0,4.4
Babolat Pure Aero Rafa Origin,Spin Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Aero_Rafa_Origin/descpageRCBAB-BAROR.html,100 in / 645.16 cm,27in / 68.58cm,11.9oz / 337g,13.38in / 33.99cm / 1 pts HL,371.0,70,23mm / 26mm / 23mm,Graphite,Low-Medium,Medium-Full,Medium-Fast,Pink/Yellow/Black,Babolat Syntec Pro,"16 Mains / 19 CrossesMains skip: 8T,8HTwo PiecesNo Shared Holes",50-59 pounds,329.0,4.9
Babolat Pure Aero 2023,Spin Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Aero_2023/descpageRCBAB-BARO.html,100 in / 645.16 cm,27in / 68.58cm,11.2oz / 318g,12.99in / 32.99cm / 4 pts HL,322.0,65,23mm / 26mm / 23mm,Graphite,Low-Medium,Medium-Full,Medium-Fast,Yellow/Black,Babolat Syntec Pro,"16 Mains / 19 CrossesMains skip: 8T,8HTwo PiecesNo Shared Holes",50-59 pounds,259.0,4.7
Babolat Pure Aero 98 2023,Spin Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Aero_98_2023/descpageRCBAB-BARO98.html,98 in / 632.26 cm,27in / 68.58cm,11.4oz / 323g,12.79in / 32.49cm / 6 pts HL,327.0,65,21mm / 23mm / 22mm,Graphite,Low-Medium,Medium-Full,Medium-Fast,Black/Yellow,Syntec Pro,"16 Mains / 20 CrossesMains skip: 7T,9T,7H,9HTwo PiecesNo Shared Holes",50-59 pounds,279.0,4.9
Babolat Pure Aero Plus 2023,Spin Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Aero_Plus_2023/descpageRCBAB-BAROPL.html,100 in / 645.16 cm,27.5in / 69.85cm,11.3oz / 320g,12.99in / 32.99cm / 6 pts HL,334.0,65,23mm / 26mm / 23mm,Graphite,Low-Medium,Medium-Full,Medium-Fast,Yellow/Black,Babolat Syntec Pro,"16 Mains / 19 CrossesMains skip: 8T,8HTwo PiecesNo Shared Holes",50-59 pounds,259.0,5.0
Babolat Pure Aero Lite 2023,Spin Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Aero_Lite_2023/descpageRCBAB-BAROL.html,100 in / 645.16 cm,27in / 68.58cm,10oz / 283g,13.38in / 33.99cm / 1 pts HL,304.0,65,23mm / 26mm / 23mm,Graphite,Low-Medium,Medium-Full,Medium-Fast,Blue,Babolat Syntec Pro,"16 Mains / 19 CrossesMains skip: 7T,9T,7H,9HTwo PiecesNo Shared Holes",50-59 pounds,219.0,5.0
